predictor_set,repeat,fold,validation_participants,macro_f1,balanced_accuracy,macro_pr_auc,ELEVATED_FASTING_RANGE_sensitivity,ELEVATED_FASTING_RANGE_specificity,ELEVATED_FASTING_RANGE_pr_auc,ELEVATED_FASTING_RANGE_f1,NORMAL_RANGE_sensitivity,NORMAL_RANGE_specificity,NORMAL_RANGE_pr_auc,NORMAL_RANGE_f1
ppg_only,8,1,35,0.65,0.625,0.7838873844439712,0.2857142857142857,0.9642857142857143,0.6099137090733728,0.4,0.9642857142857143,0.2857142857142857,0.9578610598145696,0.9
ppg_only,8,2,35,0.4642857142857143,0.4699074074074074,0.5888361563018536,0.125,0.8148148148148148,0.2984391365241749,0.14285714285714285,0.8148148148148148,0.125,0.8792331760795322,0.7857142857142857
ppg_only,8,3,35,0.5535714285714286,0.5509259259259259,0.6448379223386137,0.25,0.8518518518518519,0.4322746697746698,0.2857142857142857,0.8518518518518519,0.25,0.8574011749025576,0.8214285714285714
ppg_only,8,4,34,0.6964285714285714,0.6772486772486772,0.6508441001083255,0.42857142857142855,0.9259259259259259,0.3847041847041847,0.5,0.9259259259259259,0.42857142857142855,0.9169840155124662,0.8928571428571429
ppg_only,8,5,34,0.5096153846153846,0.5132275132275133,0.6479382271821668,0.2857142857142857,0.7407407407407407,0.3809675968289413,0.25,0.7407407407407407,0.2857142857142857,0.9149088575353923,0.7692307692307693
ppg_only,9,1,35,0.5535714285714286,0.5535714285714286,0.5770364948435212,0.2857142857142857,0.8214285714285714,0.2673639455782313,0.2857142857142857,0.8214285714285714,0.2857142857142857,0.8867090441088109,0.8214285714285714
ppg_only,9,2,35,0.514637904468413,0.525462962962963,0.6594160788852739,0.125,0.9259259259259259,0.43650447599938264,0.18181818181818182,0.9259259259259259,0.125,0.8823276817711652,0.847457627118644
ppg_only,9,3,35,0.5333333333333333,0.5324074074074074,0.6597562316202688,0.25,0.8148148148148148,0.4312089490968801,0.26666666666666666,0.8148148148148148,0.25,0.8883035141436575,0.8
ppg_only,9,4,34,0.38181818181818183,0.3888888888888889,0.5002749591613408,0.0,0.7777777777777778,0.18925886143931256,0.0,0.7777777777777778,0.0,0.8112910568833691,0.7636363636363637
ppg_only,9,5,34,0.5502645502645502,0.5502645502645502,0.5789054654621496,0.2857142857142857,0.8148148148148148,0.28238717709305944,0.2857142857142857,0.8148148148148148,0.2857142857142857,0.8754237538312397,0.8148148148148148
ppg_only,10,1,35,0.5138888888888888,0.5178571428571428,0.6531786108654318,0.2857142857142857,0.75,0.3855144855144855,0.25,0.75,0.2857142857142857,0.9208427362163781,0.7777777777777778
ppg_only,10,2,35,0.39655172413793105,0.42592592592592593,0.6080601517003548,0.0,0.8518518518518519,0.3091669478182636,0.0,0.8518518518518519,0.0,0.906953355582446,0.7931034482758621
ppg_only,10,3,35,0.4642857142857143,0.4699074074074074,0.541438079801706,0.125,0.8148148148148148,0.26848379629629626,0.14285714285714285,0.8148148148148148,0.125,0.8143923633071157,0.7857142857142857
ppg_only,10,4,34,0.5952380952380952,0.5873015873015872,0.6318044889231322,0.2857142857142857,0.8888888888888888,0.37507151768770963,0.3333333333333333,0.8888888888888888,0.2857142857142857,0.888537460158555,0.8571428571428571
ppg_only,10,5,34,0.551789077212806,0.5529100529100529,0.7220469341710605,0.14285714285714285,0.9629629629629629,0.49291819291819294,0.2222222222222222,0.9629629629629629,0.14285714285714285,0.951175675423928,0.8813559322033898
ppg_only,11,1,35,0.4067796610169492,0.42857142857142855,0.4804434522788339,0.0,0.8571428571428571,0.17978296720532747,0.0,0.8571428571428571,0.0,0.7811039373523403,0.8135593220338984
ppg_only,11,2,35,0.7321428571428572,0.712962962962963,0.7047984116000598,0.5,0.9259259259259259,0.556384468022399,0.5714285714285714,0.9259259259259259,0.5,0.8532123551777206,0.8928571428571429
ppg_only,11,3,35,0.48043184885290147,0.48842592592592593,0.696915421105364,0.125,0.8518518518518519,0.46036435786435786,0.15384615384615385,0.8518518518518519,0.125,0.93346648434637,0.8070175438596491
ppg_only,11,4,34,0.575,0.5714285714285714,0.6813480825942297,0.14285714285714285,1.0,0.4421768707482993,0.25,1.0,0.14285714285714285,0.9205192944401601,0.9
ppg_only,11,5,34,0.38181818181818183,0.3888888888888889,0.5257399248724489,0.0,0.7777777777777778,0.20548219287715086,0.0,0.7777777777777778,0.0,0.845997656867747,0.7636363636363637
ppg_only,12,1,35,0.6428571428571428,0.6428571428571428,0.6429911052501851,0.42857142857142855,0.8571428571428571,0.37119565217391304,0.42857142857142855,0.8571428571428571,0.42857142857142855,0.914786558326457,0.8571428571428571
ppg_only,12,2,35,0.4262295081967213,0.48148148148148145,0.5791401196329242,0.0,0.9629629629629629,0.2760748760706696,0.0,0.9629629629629629,0.0,0.8822053631951787,0.8524590163934426
ppg_only,12,3,35,0.48043184885290147,0.48842592592592593,0.6417717112858948,0.125,0.8518518518518519,0.3753166606785028,0.15384615384615385,0.8518518518518519,0.125,0.9082267618932869,0.8070175438596491
ppg_only,12,4,34,0.6402116402116402,0.6402116402116402,0.652816439415969,0.42857142857142855,0.8518518518518519,0.38693877551020406,0.42857142857142855,0.8518518518518519,0.42857142857142855,0.918694103321734,0.8518518518518519
ppg_only,12,5,34,0.5502645502645502,0.5502645502645502,0.6550915187870902,0.2857142857142857,0.8148148148148148,0.40512792073351084,0.2857142857142857,0.8148148148148148,0.2857142857142857,0.9050551168406695,0.8148148148148148
ppg_only,13,1,35,0.48043184885290147,0.4821428571428571,0.555786906809212,0.14285714285714285,0.8214285714285714,0.24792429792429793,0.15384615384615385,0.8214285714285714,0.14285714285714285,0.863649515694126,0.8070175438596491
ppg_only,13,2,35,0.4067796610169492,0.4444444444444444,0.6057307174570652,0.0,0.8888888888888888,0.3142855785518829,0.0,0.8888888888888888,0.0,0.8971758563622474,0.8135593220338984
ppg_only,13,3,35,0.6181818181818182,0.6134259259259259,0.6471388915118109,0.375,0.8518518518518519,0.5072557471264367,0.4,0.8518518518518519,0.375,0.7870220358971851,0.8363636363636363
ppg_only,13,4,34,0.47692307692307695,0.47883597883597884,0.5914031070525814,0.14285714285714285,0.8148148148148148,0.2854538389795971,0.15384615384615385,0.8148148148148148,0.14285714285714285,0.8973523751255656,0.8
