permutation,context_only_macro_f1,context_only_balanced_accuracy,context_only_macro_pr_auc,ppg_plus_context_macro_f1,ppg_plus_context_balanced_accuracy,ppg_plus_context_macro_pr_auc,macro_f1_delta,balanced_accuracy_delta,macro_pr_auc_delta
59,0.4401294498381877,0.5,0.4772606910223186,0.4663189186157384,0.4731717011128776,0.45654816476478854,0.026189468777550684,-0.026828298887122404,-0.02071252625753006
60,0.4401294498381877,0.5,0.42478259015072006,0.41764601665387113,0.43630763116057236,0.4729336630821874,-0.02248343318431656,-0.06369236883942764,0.048151072931467365
61,0.4401294498381877,0.5,0.48038593947966524,0.5198133821531921,0.5222575516693164,0.5159759001250508,0.07968393231500437,0.022257551669316422,0.035589960645385554
62,0.4401294498381877,0.5,0.4587653984819142,0.5362470862470863,0.5357710651828299,0.599462133941752,0.09611763640889859,0.03577106518282991,0.14069673545983774
63,0.4401294498381877,0.5,0.4574315202421988,0.4411716397481522,0.4486287758346582,0.4768847449186397,0.0010421899099645193,-0.05137122416534179,0.019453224676440894
64,0.4401294498381877,0.5,0.49774456227309594,0.4354312354312354,0.44982114467408585,0.46924000641529995,-0.0046982144069522835,-0.05017885532591415,-0.028504555857795988
65,0.4401294498381877,0.5,0.49364241941611425,0.5607278882776132,0.557929252782194,0.5446532880901159,0.12059843843942553,0.05792925278219396,0.051010868674001675
66,0.4401294498381877,0.5,0.5096692999130235,0.4433922175681418,0.46085055643879175,0.49308848202442845,0.003262767729954097,-0.03914944356120825,-0.016580817888595
67,0.4401294498381877,0.5,0.43640618772461454,0.4725913143514524,0.48052464228934816,0.48435955808292297,0.032461864513264715,-0.01947535771065184,0.047953370358308434
68,0.4401294498381877,0.5,0.4787092333578118,0.42711652608559825,0.4510135135135135,0.4475795833381855,-0.013012923752589445,-0.048986486486486513,-0.03112965001962631
69,0.4401294498381877,0.5,0.5195258601279363,0.5480463425715584,0.5456081081081081,0.5536965055090834,0.10791689273337068,0.045608108108108114,0.03417064538114711
70,0.4401294498381877,0.5,0.4547539223561479,0.43807948975373534,0.45349761526232113,0.4704038984323677,-0.0020499600844523513,-0.04650238473767887,0.015649976076219763
71,0.4401294498381877,0.5,0.5072868263220971,0.47575757575757577,0.4842011128775835,0.5298613283508088,0.035628125919388076,-0.015798887122416505,0.022574502028711696
72,0.4401294498381877,0.5,0.5617022137286236,0.46921286500211595,0.4719793322734499,0.4728198567645737,0.02908341516392826,-0.028020667726550097,-0.08888235696404989
73,0.4401294498381877,0.5,0.4689098186901547,0.5028735632183908,0.5087440381558028,0.5567334417525345,0.06274411338020314,0.008744038155802825,0.08782362306237979
74,0.4383116883116883,0.4963235294117647,0.5158613860913406,0.48238031914893614,0.48668521462639114,0.48245551436399864,0.044068630837247824,-0.00963831478537358,-0.03340587172734194
75,0.4401294498381877,0.5,0.5744733717224881,0.5169449767314536,0.5173887122416534,0.5152881433156716,0.07681552689326587,0.017388712241653392,-0.059185228406816504
76,0.4401294498381877,0.5,0.4533088279329423,0.4890958655156747,0.4940381558028617,0.5432550410612096,0.048966415677486996,-0.0059618441971383,0.08994621312826728
77,0.4401294498381877,0.5,0.4830437343825394,0.4080991642829099,0.4216017488076311,0.4536632051932597,-0.032030285555277815,-0.07839825119236887,-0.02938052918927969
78,0.4401294498381877,0.5,0.5110628038023874,0.4944805194805195,0.49652225755166934,0.5487384868401071,0.05435106964233183,-0.0034777424483306563,0.03767568303771962
79,0.434640522875817,0.4889705882352941,0.5069398256125305,0.4659655731700936,0.4683028616852146,0.49676443762674805,0.031325050294276624,-0.02066772655007948,-0.010175387985782436
80,0.4401294498381877,0.5,0.5152977888727874,0.48238031914893614,0.48668521462639114,0.5000199146329529,0.04225086931074845,-0.013314785373608862,-0.01527787423983451
81,0.4401294498381877,0.5,0.48965037235482034,0.47894643595346365,0.4878775834658188,0.5145418409543375,0.03881698611527595,-0.012122416534181224,0.024891468599517186
