feature,method,pooled_n,pooled_correlation,participant_count,participant_mean,participant_median,participant_iqr,participant_min,participant_max
history_flat_fraction_min,pearson,22038,-0.00940319345226897,13,-0.0057614045636517385,0.013263921716608862,0.055679527319668076,-0.21672363739271933,0.05510552699379747
history_flat_fraction_min,spearman,22038,0.01756186660844255,13,0.016801763004650958,0.02983034440853755,0.04525307130016362,-0.10799371232683178,0.1391222470100264
history_flat_fraction_max,pearson,22038,0.002969032801612999,16,0.001906077787524569,0.00562669833644089,0.06440837795685402,-0.1647636036569517,0.13769497412416515
history_flat_fraction_max,spearman,22038,-0.008737238154961663,16,-0.005536295629993742,-0.011565954876332257,0.05272887997344498,-0.11777673938748666,0.11423697672963866
history_flat_fraction_last,pearson,22038,-0.006771024870583906,16,-0.007554207980938544,0.010023404096056749,0.03336159529897842,-0.21263901493104145,0.06708878241151402
history_flat_fraction_last,spearman,22038,-0.00575528662400981,16,-0.004864161399405955,-0.011770935246228006,0.07840535142451213,-0.06231407228746232,0.06332396024019865
history_slope_per_min_mean,pearson,22038,-0.008652981584670478,16,-0.016706619409114134,-0.01980142732395762,0.04255963014708903,-0.12377714737019796,0.13213224217536862
history_slope_per_min_mean,spearman,22038,-0.01689204879389191,16,-0.01873410689627623,-0.013830085393150632,0.050967013302000624,-0.11277187863956775,0.12928623149652427
history_slope_per_min_std,pearson,22038,-0.0011164127174214016,16,0.0005411962455516232,0.013297197577600693,0.07527344465410721,-0.16252091496855028,0.12062506602341787
history_slope_per_min_std,spearman,22038,0.00012020404265565061,16,-0.01423938729738776,0.01269233583093144,0.06203405317478468,-0.20462560985676245,0.11182413365915202
history_slope_per_min_min,pearson,22038,-0.00685011033924852,16,-0.009586441475647092,-0.006077437948495047,0.048812229537935375,-0.13536277686968337,0.09123771838730402
history_slope_per_min_min,spearman,22038,-0.0026874145615045555,16,0.008044569816433273,0.0007765970362327698,0.07038101092785254,-0.09441110182531862,0.13355273350988092
history_slope_per_min_max,pearson,22038,-0.004709320287828709,16,-0.009251202743083019,-0.008051410978275487,0.08199094379583152,-0.18737201052567473,0.12070458535895685
history_slope_per_min_max,spearman,22038,-0.012353580683070235,16,-0.019336393523414486,-0.0015092961847058036,0.0615243713993731,-0.15232651817644244,0.10870976308610077
history_slope_per_min_last,pearson,22038,0.011291353282760302,16,0.01230767488077693,0.02466995444425625,0.04590713943560439,-0.06005441896101823,0.06471209208167122
history_slope_per_min_last,spearman,22038,0.009846805599532453,16,0.013667959273425305,0.018236757395340565,0.03295042438303499,-0.03590591612808713,0.043895075704829846
